,mod_ingredients
papaya,0.00014510672301313115
sweet chili,0.00014510672301313115
rosemary leaf,0.0001446097821808944
instant chocolate pudding mix,0.0001446097821808944
navy bean,0.0001446097821808944
double cream,0.00014411284134865766
fat-free mayonnaise,0.0001436159005164209
kiwi fruit,0.0001436159005164209
sirloin,0.00014311895968418417
tuna in water,0.00014212507801971067
pumpkin seed,0.0001416281371874739
sugar substitute,0.00014113119635523715
soya,0.00014113119635523715
apricot jam,0.00014113119635523715
roll,0.0001406342555230004
tamari,0.00013914343302629016
sirloin steak,0.00013814955136181664
bok choy,0.0001376526105295799
sweet corn,0.0001376526105295799
coleslaw mix,0.0001376526105295799
